rounds,score
673,29494200
674,29494200
675,29494200
677,29494200
678,29494200
679,29494200
680,29494200
681,29494200
682,29494200
683,29494200
684,29494200
685,29494200
686,29494200
687,29494200
688,29494200
689,29494200
690,29494200
691,29494200
692,29494200
693,29494200
694,29494200
695,29494200
696,29494200
697,29494200
699,29494200
700,29494200
701,29494200
702,29494200
703,29494200
704,29494200
705,29567400
706,29567400
707,29567400
708,29567400
709,29567400
710,29567400
711,29567400
712,29567400
713,29567400
714,29567400
715,29567400
716,29567400
717,29567400
718,29567400
719,29567400
720,29567400
721,29567400
722,29567400
723,29567400
724,29567400
725,29567400
727,29567400
728,29567400
729,29567400
730,29567400
731,29640600
732,29640600
733,29640600
734,29640600
735,29640600
736,29640600
737,29640600
738,29640600
739,29640600
740,29640600
741,29640600
742,29640600
743,29640600
744,29640600
745,29640600
746,29640600
747,29640600
748,29640600
749,29640600
750,29640600
751,29640600
752,29640600
753,29640600
754,29640600
755,29640600
756,29640600
757,29640600
758,29640600
759,29640600
760,29640600
761,29640600
762,29640600
763,29640600
764,29640600
765,29640600
766,29640600
767,29640600
768,29640600
769,29640600
770,29640600
771,29640600
772,29640600
773,29640600
774,29640600
775,29640600
776,29640600
777,29640600
778,29713800
779,29713800
780,29713800
781,29713800
782,29713800
783,29713800
784,29713800
785,29713800
786,29713800
787,29713800
788,29713800
789,29713800
790,29713800
791,29787000
792,29787000
793,29787000
794,29787000
795,29787000
796,29787000
797,29787000
798,29787000
799,29787000
800,29787000
801,29787000
802,29787000
803,29787000
804,29787000
805,29787000
806,29787000
807,29787000
808,29787000
809,29787000
810,29787000
811,29787000
812,29787000
813,29787000
814,29787000
815,29787000
818,29787000
819,29787000
820,29787000
821,29787000
822,29787000
823,29787000
824,29787000
825,29787000
826,29787000
827,29787000
828,29787000
829,29787000
830,29787000
831,29787000
832,29787000
833,29787000
834,29787000
835,29787000
836,29787000
837,29787000
838,29787000
839,29787000
840,29787000
841,29787000
842,29787000
843,29787000
844,29787000
845,29787000
846,29787000
847,29787000
848,29787000
849,29787000
850,29787000
851,29787000
852,29787000
853,29787000
854,29787000
855,29787000
856,29787000
857,29787000
858,29787000
859,29787000
860,29787000
861,29787000
862,29787000
863,29787000
864,29787000
865,29787000
866,29787000
867,29787000
868,29787000
869,29787000
870,29787000
871,29787000
872,29787000
873,29787000
874,29787000
875,29787000
876,29787000
877,29787000
878,29787000
879,29787000
880,29787000
881,29787000
882,29787000
883,29787000
884,29787000
885,29787000
886,29787000
887,29787000
888,29787000
889,29787000
890,29787000
891,29787000
892,29787000
893,29787000
894,29787000
895,29787000
896,29787000
897,29787000
898,29787000
899,29787000
900,29787000
901,29787000
902,29787000
903,29787000
904,29787000
905,29787000
906,29787000
907,29787000
908,29787000
909,29787000
910,29787000
911,29787000
912,29787000
913,29787000
914,29787000
915,29787000
916,29787000
917,29787000
918,29787000
920,29787000
921,29787000
922,29787000
923,29787000
924,29787000
925,29787000
926,29787000
927,29787000
928,29787000
929,29787000
930,29787000
931,29787000
932,29787000
933,29787000
935,29787000
936,29787000
937,29787000
938,29787000
939,29787000
940,29787000
941,29787000
942,29787000
943,29787000
944,29787000
945,29787000
946,29787000
947,29787000
948,29787000
950,29787000
951,29787000
952,29787000
953,29787000
954,29787000
955,29787000
956,29787000
957,29787000
958,29787000
959,29787000
960,29787000
961,29787000
962,29787000
963,29787000
964,29787000
965,29787000
967,29787000
968,29787000
969,29787000
970,29787000
971,29787000
972,29787000
973,29787000
974,29787000
975,29787000
976,29787000
977,29787000
978,29787000
979,29787000
980,29787000
981,29787000
982,29787000
983,29787000
984,29787000
985,29787000
986,29787000
987,29787000
988,29787000
989,29787000
990,29787000
991,29787000
992,29787000
993,29787000
994,29787000
995,29787000
996,29787000
997,29787000
998,29787000
999,29787000
